coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-90s,90,2026-04-07 00:28:30+00:00,2026-04-07 00:28:00+00:00,0.1,no,0.9,True,True,0.09299999999999997,0.1033333333333333,True,False,90.0,90.0
SOL,KXSOL15M,KXSOL15M-26APR062030-30,2026-04-07 00:30:00+00:00,no,T-60s,60,2026-04-07 00:29:00+00:00,2026-04-07 00:29:00+00:00,0.02,no,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-5m,300,2026-04-07 00:10:00+00:00,2026-04-07 00:10:00+00:00,0.31,no,0.69,True,True,0.28830000000000006,0.41782608695652185,True,False,69.0,
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-4m,240,2026-04-07 00:11:00+00:00,2026-04-07 00:11:00+00:00,0.24,no,0.76,True,True,0.22319999999999998,0.29368421052631577,True,False,76.0,
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-3m,180,2026-04-07 00:12:00+00:00,2026-04-07 00:12:00+00:00,0.09,no,0.91,True,True,0.08369999999999997,0.09197802197802193,True,False,91.0,90.0
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-2m,120,2026-04-07 00:13:00+00:00,2026-04-07 00:13:00+00:00,0.04,no,0.96,True,True,0.03720000000000003,0.038750000000000034,True,False,96.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-90s,90,2026-04-07 00:13:30+00:00,2026-04-07 00:13:00+00:00,0.04,no,0.96,True,True,0.03720000000000003,0.038750000000000034,True,False,96.0,96.0
SOL,KXSOL15M,KXSOL15M-26APR062015-15,2026-04-07 00:15:00+00:00,no,T-60s,60,2026-04-07 00:14:00+00:00,2026-04-07 00:14:00+00:00,0.02,no,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-5m,300,2026-04-06 23:55:00+00:00,2026-04-06 23:55:00+00:00,0.84,yes,0.84,False,False,-0.84,-1.0,True,False,84.0,
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-4m,240,2026-04-06 23:56:00+00:00,2026-04-06 23:56:00+00:00,0.89,yes,0.89,False,False,-0.89,-1.0,True,False,89.0,88.0
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-3m,180,2026-04-06 23:57:00+00:00,2026-04-06 23:57:00+00:00,0.94,yes,0.94,False,False,-0.94,-1.0,True,False,94.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-2m,120,2026-04-06 23:58:00+00:00,2026-04-06 23:58:00+00:00,0.952,yes,0.952,False,False,-0.952,-1.0,True,False,95.19999999999999,94.0
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-90s,90,2026-04-06 23:58:30+00:00,2026-04-06 23:58:00+00:00,0.952,yes,0.952,False,False,-0.952,-1.0,True,False,95.19999999999999,94.0
SOL,KXSOL15M,KXSOL15M-26APR062000-00,2026-04-07 00:00:00+00:00,no,T-60s,60,2026-04-06 23:59:00+00:00,2026-04-06 23:59:00+00:00,0.07,no,0.9299999999999999,True,True,0.06510000000000005,0.07000000000000005,True,False,93.0,92.0
